Bib_ID,Year,Start,End,Loc_code,Expedition,Shallow,Slope,Deep
Ardyna2020b,2004,winter,fall,BS,CASES,NA,NA,NA
Ardyna2020b,2007,winter,fall,BS,CFL,NA,NA,NA
Ardyna2020b,2010,summer,summer,CS,ICESCAPE,NA,NA,NA
Ardyna2020b,2010,spring,summer,CA,RESOLUTE,NA,NA,NA
Ardyna2020b,2011,summer,summer,CS,ICESCAPE,NA,NA,NA
Ardyna2020b,2011,spring,summer,CA,RESOLUTE,NA,NA,NA
Ardyna2020b,2014,spring,summer,CS,SUBICE,NA,NA,NA
Ardyna2020b,2015,winter,summer,NB,NICE,NA,NA,NA
Ardyna2020b,2015,spring,summer,BB,GESIC,NA,NA,NA
Ardyna2020b,2016,spring,summer,BB,GESIC,NA,NA,NA
Ardyna2020b,2016,summer,summer,BB,AMUNDSEN,NA,NA,NA
Ardyna2020c,NA,NA,NA,AO,NA,NA,NA,NA
Flores2019,2012,August,September,CAB,POLARSTERN,FALSE,FALSE,TRUE
Lasternas2010,2007,July,July,FS,ATOS,FALSE,FALSE,TRUE
Lin2018,2010,July,August,CS,CHINARE,TRUE,TRUE,TRUE
Neeley2018,2011,July,July,BS,ICESCAPE,TRUE,TRUE,TRUE
Neeley2019,2011,July,July,CS,ICESCAPE,TRUE,TRUE,TRUE
Wang2018,2010,July,September,BS,CHINARE,FALSE,FALSE,TRUE
Wang2018,2010,July,September,CAB,CHINARE,FALSE,FALSE,TRUE
Wang2018,2010,July,September,CS,CHINARE,TRUE,FALSE,TRUE
Wang2018a,2010,July,July,BEB,CHINARE,TRUE,TRUE,TRUE
